('Faith', 'main_category_Music', 'GBP', 'GB', 1891, 90, 2014, 8) ('category', 'Faith')
('Childrenswear', 'main_category_Fashion', 'GBP', 'GB', 1891, 90, 2014, 8) ('main_category', 'main_category_Fashion')
('Apparel', 'main_category_Fashion', 'GBP', 'GB', 1891, 90, 2014, 8) ('category', 'Apparel')
('Webcomics', 'main_category_Comics', 'GBP', 'GB', 1891, 90, 2014, 8) ('main_category', 'main_category_Comics')
('Typography', 'main_category_Design', 'GBP', 'GB', 1891, 90, 2014, 8) ('main_category', 'main_category_Design')
('Typography', 'main_category_Design', 'GBP', 'GB', 1891, 90, 2013, 8) ('year_launched', 2013)
('Fashion', 'main_category_Fashion', 'GBP', 'GB', 1891, 90, 2013, 8) ('main_category', 'main_category_Fashion')
('Fashion', 'main_category_Fashion', 'GBP', 'GB', 3651, 90, 2013, 8) ('goal_level', 3651)
('Fashion', 'main_category_Fashion', 'GBP', 'GB', 3651, 90, 2013, 8) ('main_category', 'main_category_Fashion')
('Fashion', 'main_category_Fashion', 'GBP', 'GB', 3651, 60, 2013, 8) ('duration', 60)
('Jazz', 'main_category_Music', 'GBP', 'GB', 3651, 60, 2013, 8) ('main_category', 'main_category_Music')
('Jazz', 'main_category_Music', 'GBP', 'GB', 3651, 90, 2013, 8) ('duration', 90)
('Jazz', 'main_category_Music', 'GBP', 'GB', 7465, 90, 2013, 8) ('goal_level', 7465)
('Blues', 'main_category_Music', 'GBP', 'GB', 7465, 90, 2013, 8) ('category', 'Blues')
('Blues', 'main_category_Music', 'GBP', 'GB', 7465, 90, 2013, 8) ('country', 'GB')
('World Music', 'main_category_Music', 'GBP', 'GB', 7465, 90, 2013, 8) ('category', 'World Music')
('Jewelry', 'main_category_Fashion', 'GBP', 'GB', 7465, 90, 2013, 8) ('main_category', 'main_category_Fashion')
('Jewelry', 'main_category_Fashion', 'GBP', 'GB', 7465, 90, 2017, 8) ('year_launched', 2017)
('Jewelry', 'main_category_Fashion', 'GBP', 'GB', 7465, 90, 2016, 8) ('year_launched', 2016)
('Jewelry', 'main_category_Fashion', 'GBP', 'GB', 7465, 90, 2015, 8) ('year_launched', 2015)
('Jewelry', 'main_category_Fashion', 'GBP', 'GB', 2932, 90, 2015, 8) ('goal_level', 2932)
('Jewelry', 'main_category_Fashion', 'GBP', 'GB', 54960, 90, 2015, 8) ('goal_level', 54960)
('Literary Journals', 'main_category_Publishing', 'GBP', 'GB', 54960, 90, 2015, 8) ('main_category', 'main_category_Publishing')
('Literary Journals', 'main_category_Publishing', 'GBP', 'GB', 2406, 90, 2015, 8) ('goal_level', 2406)
('Literary Journals', 'main_category_Publishing', 'GBP', 'GB', 660697, 90, 2015, 8) ('goal_level', 660697)
('Literary Journals', 'main_category_Publishing', 'GBP', 'GB', 32728, 90, 2015, 8) ('goal_level', 32728)
('Literary Journals', 'main_category_Publishing', 'GBP', 'GB', 32728, 90, 2015, 3) ('month_launched', 3)
('Art', 'main_category_Art', 'GBP', 'GB', 32728, 90, 2015, 3) ('main_category', 'main_category_Art')
('Animals', 'main_category_Photography', 'GBP', 'GB', 32728, 90, 2015, 3) ('main_category', 'main_category_Photography')
('Animals', 'main_category_Photography', 'GBP', 'GB', 24017, 90, 2015, 3) ('goal_level', 24017)
('Animals', 'main_category_Photography', 'GBP', 'GB', 24017, 70, 2015, 3) ('duration', 70)
('Sculpture', 'main_category_Art', 'GBP', 'GB', 24017, 70, 2015, 3) ('main_category', 'main_category_Art')
